image_name,image_size,cp,noobpp,ct,cm,dt,dm
./images/10.ppm,786432,40.2637,4.77891,1.13925,20316,0.976619,22704
./images/11.png,3072,51.9531,3.84375,0.003814,1820,0.00362,3316
./images/12.png,6912,47.6816,4.18547,0.008809,3456,0.007367,3500
./images/13.png,19200,54.9277,3.60578,0.021252,3624,0.017988,3756
./images/14.png,768,29.362,5.65104,0.001464,1824,0.002162,3404
./images/2.bmp,1499520,4.44441,7.64445,3.39356,39700,2.52515,46392
./images/3.bmp,1065024,3.81858,7.69451,2.36235,29300,2.00325,32704
./images/4.bmp,551304,5.46634,7.56269,1.19893,16600,0.939384,19972
./images/5.bmp,407286,7.86146,7.37108,0.919758,13020,0.720966,14888
./images/6.bmp,203577,5.06817,7.59455,0.60904,8416,0.392241,9092
./images/7.bmp,44016,6.16906,7.50647,0.140787,4600,0.100351,4720
./images/8.ppm,49152,51.8728,3.85018,0.059389,4496,0.053559,4524
./images/9.png,12288,11.5529,7.07577,0.029039,3884,0.02294,3808
./images/colombia.jpg,196608,21.7264,6.26189,0.475252,8016,0.290464,8196
