image_name,image_size,cp,noobpp,ct,cm,dt,dm
./images/10.ppm,262144,31.4432,5.48455,0.026678,3688,0.139001,6604
./images/11.png,1024,56.2012,3.50391,0.000912,1872,0.000959,3396
./images/12.png,2304,52.3655,3.81076,0.001348,1812,0.001369,3352
./images/13.png,6400,57.7969,3.37625,0.001702,3380,0.002556,3472
./images/14.png,256,32.1289,5.42969,0.000351,1848,0.000914,3300
./images/2.bmp,499840,7.17272,7.42618,0.076327,3952,0.350174,11756
./images/3.bmp,355008,4.66123,7.6271,0.053579,3612,0.254165,8800
./images/4.bmp,183768,6.39196,7.48864,0.026466,3576,0.127988,6304
./images/5.bmp,135762,14.3308,6.85354,0.017635,3616,0.087716,5536
./images/6.bmp,67859,7.46382,7.40289,0.010705,3400,0.039636,4072
./images/7.bmp,14672,7.21442,7.42285,0.002588,3332,0.010182,3448
./images/8.ppm,16384,36.6867,5.06506,0.001544,3472,0.007985,3692
./images/9.png,4096,13.858,6.89136,0.001707,1828,0.003021,3348
./images/colombia.jpg,65536,22.481,6.20152,0.007844,3464,0.0255,4168
