image_name,image_size,cp,noobpp,ct,cm,dt,dm
./images/10.ppm,786432,37.8912,4.9687,0.057256,4216,0.293082,10440
./images/11.png,3072,51.5869,3.87305,0.00098,1972,0.003015,3320
./images/12.png,6912,47.3976,4.20819,0.002522,1812,0.003068,3400
./images/13.png,19200,54.0918,3.67266,0.003757,3540,0.008183,3360
./images/14.png,768,29.3945,5.64844,0.000551,1852,0.00099,3288
./images/2.bmp,1499520,4.04088,7.67673,0.121468,4784,0.913338,23068
./images/3.bmp,1065024,3.3749,7.73001,0.102442,4516,0.625784,15904
./images/4.bmp,551304,4.91145,7.60708,0.053485,3848,0.33954,11196
./images/5.bmp,407286,7.49228,7.40062,0.035632,3876,0.213605,8628
./images/6.bmp,203577,4.4439,7.64449,0.020625,3568,0.116154,6120
./images/7.bmp,44016,5.82061,7.53435,0.007492,3552,0.026829,4224
./images/8.ppm,49152,51.5584,3.87533,0.00338,3500,0.0216,3668
./images/9.png,12288,11.2152,7.10278,0.001947,1920,0.007122,3844
./images/colombia.jpg,196608,19.7084,6.42332,0.019618,3768,0.070199,5220
