image_name,image_size,cp,noobpp,ct,cm,dt,dm
./images/10.ppm,262144,38.6838,4.9053,0.064868,3520,0.120878,6828
./images/11.png,1024,55.8105,3.53516,0.018094,1900,0.001478,3344
./images/12.png,2304,52.6584,3.78733,0.001086,2032,0.001461,3260
./images/13.png,6400,58.2227,3.34219,0.013962,3452,0.004142,3432
./images/14.png,256,28.0273,5.75781,0.017412,1828,0.00065,3328
./images/2.bmp,499840,7.76954,7.37844,0.111432,3864,0.292489,12232
./images/3.bmp,355008,9.22264,7.26219,0.096234,3740,0.212293,8932
./images/4.bmp,183768,6.11553,7.51076,0.054622,3572,0.108957,6556
./images/5.bmp,135762,18.3286,6.53371,0.082592,3600,0.075734,5444
./images/6.bmp,67859,13.3136,6.93491,0.024157,3452,0.040773,4340
./images/7.bmp,14672,7.0781,7.43375,0.020898,3448,0.01041,3592
./images/8.ppm,16384,35.8299,5.13361,0.020423,3412,0.008351,3828
./images/9.png,4096,11.2305,7.10156,0.01306,1972,0.002814,3460
./images/colombia.jpg,65536,31.7202,5.46239,0.014139,3468,0.026081,3880
