image_name,image_size,cp,noobpp,ct,cm,dt,dm
./images/10.ppm,262144,33.8545,5.29164,0.432983,10016,0.351364,10760
./images/11.png,1024,56.2378,3.50098,0.011551,1808,0.001437,3344
./images/12.png,2304,52.4631,3.80295,0.003498,1868,0.00297,3264
./images/13.png,6400,58.5352,3.31719,0.029168,3428,0.006102,3448
./images/14.png,256,30.6152,5.55078,0.019047,1808,0.000792,3420
./images/2.bmp,499840,7.70249,7.3838,1.15051,17168,0.834104,19688
./images/3.bmp,355008,5.14781,7.58818,0.846575,13756,0.684923,14220
./images/4.bmp,183768,6.9283,7.44574,0.408512,7836,0.313357,9100
./images/5.bmp,135762,14.7068,6.82346,0.3231,7004,0.255804,7588
./images/6.bmp,67859,7.76905,7.37848,0.176517,5368,0.117046,5188
./images/7.bmp,14672,7.44786,7.40417,0.248186,3924,0.027946,3792
./images/8.ppm,16384,37.2231,5.02216,0.13994,3900,0.0213,3852
./images/9.png,4096,14.1724,6.86621,0.437116,3516,0.007818,3500
./images/colombia.jpg,65536,23.8005,6.09596,0.227232,5024,0.090059,4876
