image_name,image_size,cp,noobpp,ct,cm,dt,dm
./images/10.ppm,786432,37.8912,4.9687,0.066132,8840,0.295383,10440
./images/11.png,3072,51.5869,3.87305,0.000978,1896,0.001717,3300
./images/12.png,6912,47.3976,4.20819,0.001473,3428,0.002904,3336
./images/13.png,19200,54.0918,3.67266,0.004435,3504,0.006199,3340
./images/14.png,768,29.3945,5.64844,0.000557,1792,0.001349,3320
./images/2.bmp,1499520,4.04088,7.67673,0.174983,17532,0.857773,22940
./images/3.bmp,1065024,3.3749,7.73001,0.122487,13492,0.611711,15876
./images/4.bmp,551304,4.91145,7.60708,0.060105,8780,0.322825,11232
./images/5.bmp,407286,7.49228,7.40062,0.047332,7048,0.247124,8504
./images/6.bmp,203577,4.4439,7.64449,0.023311,5280,0.114085,5988
./images/7.bmp,44016,5.82061,7.53435,0.007347,3820,0.028437,4088
./images/8.ppm,49152,51.5584,3.87533,0.004133,3692,0.020267,3684
./images/9.png,12288,11.2152,7.10278,0.00257,3396,0.007357,3692
./images/colombia.jpg,196608,19.7084,6.42332,0.023972,5188,0.079231,5248
