image_name,image_size,cp,noobpp,ct,cm,dt,dm
./images/10.ppm,262144,38.6838,4.9053,0.056438,5864,0.118191,6624
./images/11.png,1024,55.8105,3.53516,0.000646,1792,0.001524,3308
./images/12.png,2304,52.6584,3.78733,0.001014,1816,0.002194,3184
./images/13.png,6400,58.2227,3.34219,0.001986,3304,0.002655,3348
./images/14.png,256,28.0273,5.75781,0.000421,1940,0.000952,3248
./images/2.bmp,499840,7.76954,7.37844,0.140126,9232,0.337675,12232
./images/3.bmp,355008,9.22264,7.26219,0.097761,8076,0.222782,8868
./images/4.bmp,183768,6.11553,7.51076,0.059477,4928,0.123513,6560
./images/5.bmp,135762,18.3286,6.53371,0.046023,4704,0.083972,5468
./images/6.bmp,67859,13.3136,6.93491,0.020733,3996,0.04227,4396
./images/7.bmp,14672,7.0781,7.43375,0.004675,3324,0.010701,3560
./images/8.ppm,16384,35.8299,5.13361,0.005837,3332,0.008376,3752
./images/9.png,4096,11.2305,7.10156,0.002261,3508,0.004068,3372
./images/colombia.jpg,65536,31.7202,5.46239,0.019575,3980,0.02553,3736
